batchnum,hitid,hittypeid,title,description,keywords,reward,maxassignments,requesterannotation,assignmentdurationinseconds,autoapprovaldelayinseconds,expiration,numberofsimilarhits,lifetimeinseconds,assignmentid,assignmentstatus,requesterfeedback,worktimeinseconds,lifetimeapprovalrate,last30daysapprovalrate,last7daysapprovalrate,approve,reject,inputid,inputname,inputuniversity,inputdomain,inputdepts,inputfield,inputdupct,inputurl,answerothertxt,answerpagefound,answersrctype,answerurl,answerdeptmatch,answerfieldmatch,UTCflag,creationtime,accepttime,submittime,autoapprovaltime,approvaltime,rejectiontime,nassign,maxtotwt,maxavgwt,minhrrew,anonid
2127698,3YZ7A3YHR5NOFYUY9L02ROE6ZYU5SP,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:54 PDT 2015,,,3CCZ6YKWR8D9X3WTRI5DYD4ZVVC95V,Approved,,681,100% (55/55),100% (55/55),100% (41/41),,,444,Emil Volek,Arizona State University,asu.edu,"Spanish</li>&nbsp;<li>Hispanic and Luso Brazilian Literatures and Languages</li>&nbsp;<li>Spanish and Portuguese</li>&nbsp;<li>Spanish and Portuguese Languages and Literatures</li>&nbsp;<li>Spanish Language and Literature</li>&nbsp;<li>Hispanic and Luso-Brazilian Literatures and Linguistics</li>&nbsp;<li>Spanish and Portuguese Languages and Cultures</li>&nbsp;<li>Hispanic and Luso Literatures, Cultures and Linguistics</li>&nbsp;<li>Hispanic Languages and Literatures</li>&nbsp;<li>Portuguese",Spanish and Portuguese Language and Literature,1,,,1,1,https://international.clas.asu.edu/people/emil-volek,,,,1760785074000,18oct2015 11:12:41,18oct2015 11:24:02,1760793842000,1760786810000,,41,1494,36.439026,13.831325,1
2127698,3N3WJQXELSK9COGL7T13HVXZNUV2L7,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:44 PDT 2015,,,3LBXNTKX0SPIZMG3XOO8QWVJOUL9X4,Approved,,308,100% (55/55),100% (55/55),100% (41/41),,,62752,Barbara Henry,University of Washington,washington.edu,Slavic Languages and Literatures</li>&nbsp;<li>Central Eurasian Studies</li>&nbsp;<li>Slavic Languages and Literatures and Linguistics</li>&nbsp;<li>Slavic and East European Languages and Literatures</li>&nbsp;<li>Slavic Linguistics</li>&nbsp;<li>Baltic and Slavic Languages and Literatures,Slavic Languages and Societies,1,,,1,1,http://slavic.washington.edu/people/barbara-henry,,,,1760785064000,18oct2015 11:12:31,18oct2015 11:17:39,1760793459000,1760786316000,,41,1494,36.439026,13.831325,1
2127763,3P458N04Q1B4CIXALC4RSPSMU36X2P,3VRC340QZ7KLQ872NFRZYG49JXKAUD,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2127763;,900,7200,Tue Oct 20 12:36:48 PDT 2015,,,3OVR4I9USQDXTJ9FUFXPFGOA5ZQ4QC,Approved,,20,100% (63/63),100% (63/63),100% (49/49),,,7772,Pamela Stone,City University of New York,cuny.edu,Sociology</li><li>Criminal Justice</li><li>Family Social Science</li><li>Family and Consumer Sciences</li><li>Family Studies</li><li>Human Ecology</li><li>Gerontology</li><li>Sociology and Anthropology</li><li>Demography</li><li>Family and Human Development,Sociology,1,http://www.hunter.cuny.edu/sociology/faculty/pamela-stone,,,,,1,,,1760791008000,18oct2015 12:41:40,18oct2015 12:42:00,1760798520000,1760791577000,,6,298,49.666668,4.3489933,1
2127698,3SX4X51T8036NCEMX0AAFUKRUNSAO3,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:46 PDT 2015,,,3MAOD8E57R43OOKXYY7D8XQ3TJ2XNR,Approved,,27,100% (55/55),100% (55/55),100% (41/41),,,63846,Marcia A Ciol,University of Washington,washington.edu,Occupational Science</li>&nbsp;<li>Human Movement Science</li>&nbsp;<li>Biokinesiology and Physical Therapy</li>&nbsp;<li>Rehabilitation Science</li>&nbsp;<li>Biokinesiology</li>&nbsp;<li>Rehabilitation Psychology</li>&nbsp;<li>Health and Rehabilitation Sciences</li>&nbsp;<li>Occupational Therapy</li>&nbsp;<li>Rehabilitation Counselor Education</li>&nbsp;<li>Physical Rehabilitation Science,Rehabilitation and Therapy,1,,Publication list,1,5,http://www.rehab.washington.edu/education/faculty/nonproviderbios/ciol.asp?view=3,,,,1760785066000,18oct2015 11:10:10,18oct2015 11:10:37,1760793037000,1760785931000,,41,1494,36.439026,13.831325,1
2127698,3MVY4USGB6H0RMPDG5JWGXIB4KZSIL,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:55 PDT 2015,,,3BF51CHDTW43H2SBSONTUZ6WX080HQ,Approved,,53,100% (55/55),100% (55/55),100% (41/41),,,65492,Tiffany R Wilson,Walden University,waldenu.edu,Psychology</li>&nbsp;<li>Psychological Sciences</li>&nbsp;<li>Human Development and Family Studies</li>&nbsp;<li>Psychological and Quantitative Foundations</li>&nbsp;<li>Human Development</li>&nbsp;<li>Psychology and Neuroscience</li>&nbsp;<li>Cognitive Science</li>&nbsp;<li>Applied Psychology</li>&nbsp;<li>Counseling Psychology</li>&nbsp;<li>Clinical Psychology </li>&nbsp;<li>Child Psychology</li>&nbsp;<li>Comparative Human Development</li>&nbsp;<li>Child Development and Family Studies</li>&nbsp;<li>Psychological and Brain Sciences</li>&nbsp;<li>Family and Consumer Sciences Education and Studies</li>&nbsp;<li>Family and Child Sciences,Psychology,1,,Video page link of person,1,5,http://www.waldenu.edu/about/multimedia/degree-programs/masters/ms-mental-health/meet-walden-faculty-dr-tiffany-rush-wilson,,,,1760785075000,18oct2015 11:01:35,18oct2015 11:02:28,1760792548000,1760785453000,,41,1494,36.439026,13.831325,1
2127698,3FULMHZ7OUR3LKDTBJL6AN9M7DG4M6,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:54 PDT 2015,,,3X73LLYYQ2862YKITUPR5B295TJNHO,Approved,,332,100% (55/55),100% (55/55),100% (41/41),,,13729,Weissert Lance,Florida State University,fsu.edu,"Public Policy and Administration</li>&nbsp;<li>Public Policy</li>&nbsp;<li>Health Services</li>&nbsp;<li>Public Administration</li>&nbsp;<li>Public Affairs</li>&nbsp;<li>Policy, Planning and Development</li>&nbsp;<li>Social Service Administration</li>&nbsp;<li>Public Policy Studies</li>&nbsp;<li>Education and Social Policy - Learning Sciences</li>&nbsp;<li>Health Policy And Management</li>&nbsp;<li>Social Policy to Education and Social Policy - Human Development and Social Policy</li>&nbsp;<li>Public and International Affairs</li>&nbsp;<li>Health Policy</li>&nbsp;<li>Energy and Resources</li>&nbsp;<li>Health Services Research, Policy and Administration","Public Affairs, Public Policy and Public Administration",1,,,0,,,,,,1760785074000,18oct2015 11:12:31,18oct2015 11:18:03,1760793483000,1760786731000,,41,1494,36.439026,13.831325,1
2127698,3MQKOF1EE2ICQSQ08WSMMP5JISMWD1,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:42 PDT 2015,,,3LRKMWOKB6BW4XVJDXXEDU3GQN7Z2V,Approved,,66,100% (55/55),100% (55/55),100% (41/41),,,22178,Mike Duffy,Iowa State University,iastate.edu,Sociology</li>&nbsp;<li>Criminal Justice</li>&nbsp;<li>Family Social Science</li>&nbsp;<li>Family and Consumer Sciences</li>&nbsp;<li>Family Studies</li>&nbsp;<li>Human Ecology</li>&nbsp;<li>Gerontology</li>&nbsp;<li>Sociology and Anthropology</li>&nbsp;<li>Demography</li>&nbsp;<li>Family and Human Development,Sociology,1,,List of articles he wrote/co-authored,1,5,http://www.extension.iastate.edu/author/michael-duffy,,,,1760785062000,18oct2015 11:00:27,18oct2015 11:01:33,1760792493000,1760785453000,,41,1494,36.439026,13.831325,1
2127698,3VO4XFFP15GRPMT45AQUU8D18G3Q7Z,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:50 PDT 2015,,,3FTF2T8WLSC3AMBDNJSMODHCFSF9WB,Approved,,266,100% (55/55),100% (55/55),100% (41/41),,,20100,J T Leverty,University of Iowa,uiowa.edu,"Statistics</li>&nbsp;<li>Statistical Science</li>&nbsp;<li>Measurement, Statistics and Evaluation</li>&nbsp;<li>Statistics and Applied Probability</li>&nbsp;<li>Biostatistics - Public Health</li>&nbsp;<li>Survey Methodology</li>&nbsp;<li>Mathematical Statistics</li>&nbsp;<li>Measurement and Quantitative Methods</li>&nbsp;<li>Biostatistics and Public Health</li>&nbsp;<li>Biostatistics",Statistics and Probability,1,,,1,4,http://tippie.uiowa.edu/vaughan/newsletter/spr13_leverty.html,,,,1760785070000,18oct2015 11:12:29,18oct2015 11:16:55,1760793415000,1760786316000,,41,1494,36.439026,13.831325,1
2127698,3W9XHF7WGKPSCHSG589Y3ITAY72KTD,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:56 PDT 2015,,,37W3JXSD672IBNJLVVK2NUA3O0ZYWM,Approved,,22,100% (55/55),100% (55/55),100% (41/41),,,38468,John Levine,University of Pittsburgh,pitt.edu,Psychology</li>&nbsp;<li>Psychological Sciences</li>&nbsp;<li>Human Development and Family Studies</li>&nbsp;<li>Psychological and Quantitative Foundations</li>&nbsp;<li>Human Development</li>&nbsp;<li>Psychology and Neuroscience</li>&nbsp;<li>Cognitive Science</li>&nbsp;<li>Applied Psychology</li>&nbsp;<li>Counseling Psychology</li>&nbsp;<li>Clinical Psychology </li>&nbsp;<li>Child Psychology</li>&nbsp;<li>Comparative Human Development</li>&nbsp;<li>Child Development and Family Studies</li>&nbsp;<li>Psychological and Brain Sciences</li>&nbsp;<li>Family and Consumer Sciences Education and Studies</li>&nbsp;<li>Family and Child Sciences,Psychology,1,,,1,1,http://www.lrdc.pitt.edu/people/person-detail.asp?Dir_id=39,,,,1760785076000,18oct2015 11:09:20,18oct2015 11:09:42,1760792982000,1760785864000,,41,1494,36.439026,13.831325,1
2127698,3KI0JD2ZU1CYF4AKQ1CWO3WA8FR76J,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:56 PDT 2015,,,3Z3ZLGNNSJOCBNQBU1S65BW4RZP3QL,Approved,,286,100% (55/55),100% (55/55),100% (41/41),,,60243,Samantha M Brody,University of North Carolina Chapel Hill,unc.edu,Psychology</li>&nbsp;<li>Psychological Sciences</li>&nbsp;<li>Human Development and Family Studies</li>&nbsp;<li>Psychological and Quantitative Foundations</li>&nbsp;<li>Human Development</li>&nbsp;<li>Psychology and Neuroscience</li>&nbsp;<li>Cognitive Science</li>&nbsp;<li>Applied Psychology</li>&nbsp;<li>Counseling Psychology</li>&nbsp;<li>Clinical Psychology </li>&nbsp;<li>Child Psychology</li>&nbsp;<li>Comparative Human Development</li>&nbsp;<li>Child Development and Family Studies</li>&nbsp;<li>Psychological and Brain Sciences</li>&nbsp;<li>Family and Consumer Sciences Education and Studies</li>&nbsp;<li>Family and Child Sciences,Psychology,1,,,1,1,http://www.med.unc.edu/psych/directories/faculty/meltzer-brody,,,,1760785076000,18oct2015 11:12:29,18oct2015 11:17:15,1760793435000,1760786315000,,41,1494,36.439026,13.831325,1
2127698,3UV0D2KX1MDXFALCPWHTFXPDAC44FZ,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:50 PDT 2015,,,3WS1NTTKEZ6J3615XYZTREUJHLVF07,Approved,,16,100% (55/55),100% (55/55),100% (41/41),,,29613,Karen Monsen,University of Minnesota,umn.edu,Epidemiology</li>&nbsp;<li>Public Health</li>&nbsp;<li>Environmental Health Science</li>&nbsp;<li>Health Sciences</li>&nbsp;<li>Maternal and Child Health</li>&nbsp;<li>Environmental Health</li>&nbsp;<li>Health Behavior and Health Education</li>&nbsp;<li>Epidemiology and Biostatistics</li>&nbsp;<li>Biological Sciences in Public Health</li>&nbsp;<li>Health Behavior and Education</li>&nbsp;<li>International Health</li>&nbsp;<li>Public and Community Health</li>&nbsp;<li>Health Informatics</li>&nbsp;<li>Occupational and Environmental Health</li>&nbsp;<li>Population Health</li>&nbsp;<li>Public Health (Epidemiology)</li>&nbsp;<li>Public Health (Health Behavior)</li>&nbsp;<li>Clinical Investigation,Public Health,1,,,1,1,http://www.nursing.umn.edu/faculty-staff/karen-monsen/index.htm,,,,1760785070000,18oct2015 11:10:55,18oct2015 11:11:11,1760793071000,1760785902000,,41,1494,36.439026,13.831325,1
2127763,3B6F54KMR26PRGTF8YYQOY1PNIQ1S4,3VRC340QZ7KLQ872NFRZYG49JXKAUD,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2127763;,900,7200,Tue Oct 20 12:36:49 PDT 2015,,,3RSDURM96BGOUNXUAVQW1O33HX0YEE,Approved,,126,100% (63/63),100% (63/63),100% (49/49),,,50983,Sora Y Han,University of California Irvine,uci.edu,Sociology</li><li>Criminal Justice</li><li>Family Social Science</li><li>Family and Consumer Sciences</li><li>Family Studies</li><li>Human Ecology</li><li>Gerontology</li><li>Sociology and Anthropology</li><li>Demography</li><li>Family and Human Development,Sociology,1,http://www.faculty.uci.edu/profile.cfm?faculty_id=5725,,,,,0,,,1760791009000,18oct2015 12:37:31,18oct2015 12:39:37,1760798377000,1760791532000,,6,298,49.666668,4.3489933,1
2127698,39RRBHZ0AUV2E4VRA4CNRF58Z1VZVU,3QF1Y7D04XNG5PNKYBQ0XUGWR9ODLO,Verify professor affiliation,Use a pre-populated search to find and document if a professor is at a given university,"data collection, restaurants, listings",.14,1,BatchId:2127698;,900,7200,Wed Oct 21 10:57:42 PDT 2015,,,32N49TQG3HC40GLDPF1QY69IE1VVA2,Approved,,477,100% (55/55),100% (55/55),100% (41/41),,,13245,John Reynolds,Florida State University,fsu.edu,Sociology</li>&nbsp;<li>Criminal Justice</li>&nbsp;<li>Family Social Science</li>&nbsp;<li>Family and Consumer Sciences</li>&nbsp;<li>Family Studies</li>&nbsp;<li>Human Ecology</li>&nbsp;<li>Gerontology</li>&nbsp;<li>Sociology and Anthropology</li>&nbsp;<li>Demography</li>&nbsp;<li>Family and Human Development,Sociology,1,,,1,1,http://coss.fsu.edu/sociology/content/john-reynolds,,,,1760785062000,18oct2015 11:12:37,18oct2015 11:20:34,1760793634000,1760786729000,,41,1494,36.439026,13.831325,1
