batchnum,hitid,hittypeid,title,description,keywords,reward,maxassignments,requesterannotation,assignmentdurationinseconds,autoapprovaldelayinseconds,expiration,numberofsimilarhits,lifetimeinseconds,assignmentid,assignmentstatus,requesterfeedback,worktimeinseconds,lifetimeapprovalrate,last30daysapprovalrate,last7daysapprovalrate,approve,reject,inputid,inputname,inputuniversity,inputdomain,inputdepts,inputfield,inputdupct,inputurl,answerothertxt,answerpagefound,answersrctype,answerurl,answerdeptmatch,answerfieldmatch,UTCflag,creationtime,accepttime,submittime,autoapprovaltime,approvaltime,rejectiontime,nassign,maxtotwt,maxavgwt,minhrrew,anonid
2131603,3D17ECOUOEPL7Z80IJXPGQTDV5K13B,3XLRCUUVLWY6OJRLEEH8LDI9RNPU4N,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2131603;,900,3600,Fri Oct 23 11:11:20 PDT 2015,,,3FTF2T8WLSC3AMBDNJSMODHDGZCW9C,Approved,,403,100% (116/116),100% (116/116),100% (102/102),,,51535,David Rapoport,University of California Los Angeles,ucla.edu,Near Eastern Languages and Civilizations</li><li>Near Eastern Studies</li><li>Middle Eastern and Islamic Studies and History</li><li>Middle Eastern Studies</li><li>Middle Eastern and Islamic Studies</li><li>Latin American Studies</li><li>Asian Studies</li><li>Islamic Studies</li><li>Near and Middle Eastern Studies</li><li>Near Eastern Languages and Cultures,International and Area Studies,,http://www.polisci.ucla.edu/content/david-rapoport,,,,,0,,,1761045080000,21oct2015 11:27:24,21oct2015 11:34:07,1761050047000,1761047091000,,49,1353,27.612246,7.8226166,1
2131603,33KGGVH24UBXNXFE284DN6IH20K1XA,3XLRCUUVLWY6OJRLEEH8LDI9RNPU4N,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2131603;,900,3600,Fri Oct 23 11:11:05 PDT 2015,,,3I33IC7ZWGWV3PNB15HFW1C8IAY2AE,Approved,,339,100% (116/116),100% (116/116),100% (102/102),,,4522,Jeroen Dewulf,University of California Berkeley,berkeley.edu,German</li><li>Germanic Studies</li><li>Germanic Languages</li><li>German Studies</li><li>Germanic Languages and Literatures</li><li>Germanic Language and Literature</li><li>Germanics</li><li>German Literature and Critical Thought</li><li>German and Romance Languages and Literatures,German Language and Literature,,http://german.berkeley.edu/author/jdewulf/,,,,,1,,,1761045065000,21oct2015 11:12:07,21oct2015 11:17:46,1761049066000,1761045660000,,49,1353,27.612246,7.8226166,1
2131603,3JVP4ZJHDPM0QD51730C6RCS9VAI0O,3XLRCUUVLWY6OJRLEEH8LDI9RNPU4N,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2131603;,900,3600,Fri Oct 23 11:11:04 PDT 2015,,,3LJ7UR74RI7CQMWNEN58BMT61VUN4G,Approved,,265,100% (116/116),100% (116/116),100% (102/102),,,25206,Suzanne Thiem,Michigan State University,msu.edu,Entomology</li><li>Insect Science,Entomology,,http://www.ent.msu.edu/directory/suzanne_thiem,,,,,1,,,1761045064000,21oct2015 11:26:54,21oct2015 11:31:19,1761049879000,1761046471000,,49,1353,27.612246,7.8226166,1
2131603,3ZCC2DXSD7YJD8GRJTXOK700BRNYYB,3XLRCUUVLWY6OJRLEEH8LDI9RNPU4N,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2131603;,900,3600,Fri Oct 23 11:11:29 PDT 2015,,,3II4UPYCOK1ATFS8NQYIIKIHJJ9QDI,Approved,,288,100% (116/116),100% (116/116),100% (102/102),,,49370,Oscar Jorda,University of California Davis,ucdavis.edu,Economics</li><li>Applied Economics</li><li>Development</li><li>Economics and Business</li><li>Applied Economics and Management</li><li>Health Care Management and Economics</li><li>Economics and International Affairs,Economics,,http://www.econ.ucdavis.edu/faculty/jorda/,,,,,1,,,1761045089000,21oct2015 11:11:54,21oct2015 11:16:42,1761049002000,1761047609000,,49,1353,27.612246,7.8226166,1
2131603,36KM3FWE3R631TO5OCWFF2MJVF007C,3XLRCUUVLWY6OJRLEEH8LDI9RNPU4N,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2131603;,900,3600,Fri Oct 23 11:11:06 PDT 2015,,,3VHHR074H4BJL9BL48N0169RN2J7LH,Approved,,324,100% (116/116),100% (116/116),100% (102/102),,,66569,Jon Mckenzie,University of Wisconsin Madison,wisc.edu,"English Language and Literature</li><li>Literature</li><li>Language, Reading and Culture</li><li>Languages and Cultures</li><li>Literature and Creative Writing</li><li>English</li><li>English and American Indian Studies</li><li>Language, Literacy and Culture</li><li>Literature in English",English Language and Literature,,http://www.english.wisc.edu/faculty-mckenzie.htm,,,,,1,,,1761045066000,21oct2015 11:11:57,21oct2015 11:17:21,1761049041000,1761045780000,,49,1353,27.612246,7.8226166,1
2131603,33QQ60S6ASC5Z4011KPQPU033QY0UF,3XLRCUUVLWY6OJRLEEH8LDI9RNPU4N,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2131603;,900,3600,Fri Oct 23 11:11:16 PDT 2015,,,3YDTZAI2WYA9CFPY907AEFG3YUQ41Q,Approved,,378,100% (116/116),100% (116/116),100% (102/102),,,28710,David A Bernlohr,University of Minnesota,umn.edu,"Biochemistry</li><li>Integrated Life Sciences</li><li>Molecular and Cell Biology</li><li>Biological Sciences</li><li>Molecular Biology</li><li>Genetics and Molecular Biology</li><li>Biophysics</li><li>Biochemistry, Biophysics and Molecular Biology</li><li>Biochemistry, Molecular Biology and Biophysics</li><li>Molecular, Cellular, Developmental Biology and Genetics</li><li>Comparative Pathology</li><li>Genetics, Development and Cell Biology</li><li>Biochemistry and Biophysics</li><li>Genetic, Molecular and Cell Biology</li><li>Molecular Cancer Biology</li><li>Molecular, Cellular and Developmental Biology</li><li>Chemical Physics</li><li>Molecular and Cellular Biology</li><li>Biochemistry-ALS</li><li>Biochemistry and Molecular Biology</li><li>Comparative and Molecular Biosciences</li><li>Comparative Pathobiology</li><li>Roswell Park . Cellular and Molecular Biology</li><li>Molecular, Cell, and Dev Biology","Biochemistry, Biophysics, and Structural Biology",,http://cbs.umn.edu/contacts/david-bernlohr-0,,,,,1,,,1761045076000,21oct2015 11:16:17,21oct2015 11:22:35,1761049355000,1761045865000,,49,1353,27.612246,7.8226166,1
2131603,3TL87MO8CMJTDISXVOGA1EROW1TLF9,3XLRCUUVLWY6OJRLEEH8LDI9RNPU4N,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2131603;,900,3600,Fri Oct 23 11:11:37 PDT 2015,,,3FPRZHYEPZ14GVMSG0MGBYVD9Y13VT,Approved,,384,100% (116/116),100% (116/116),100% (102/102),,,23725,Carl J Boehlert,Michigan State University,msu.edu,Materials Science</li><li>Materials</li><li>Material Science and Engineering</li><li>Materials Engineering</li><li>Materials Science and Engineering</li><li>Materials Science Engineering</li><li>Materials Science and Mechanical Engineering,Materials Science and Engineering,,http://www.chems.msu.edu/people/profile/boehlert,,,,,1,,,1761045097000,21oct2015 11:16:00,21oct2015 11:22:24,1761049344000,1761047229000,,49,1353,27.612246,7.8226166,1
2131603,32TZXEA1OLE6PVR4IX28QVLJ95G14W,3XLRCUUVLWY6OJRLEEH8LDI9RNPU4N,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2131603;,900,3600,Fri Oct 23 11:11:22 PDT 2015,,,3FDJT1UU752TEZFKVFW2OMIG7WJ5KX,Approved,,343,100% (116/116),100% (116/116),100% (102/102),,,66848,Malcolm Forster,University of Wisconsin Madison,wisc.edu,Philosophy</li><li>Logic and the Methodology of Science</li><li>Philosophy (Science Studies)</li><li>Philosophy and Cognitive Science</li><li>Philosophy in Chemical Engineering</li><li>Philosophy and Economics,Philosophy,,http://philosophy.wisc.edu/forster/,,,,,1,,,1761045082000,21oct2015 11:13:43,21oct2015 11:19:26,1761049166000,1761045865000,,49,1353,27.612246,7.8226166,1
2131603,36GJS3V78VKTWS0S3NAF3KE8TRPJG5,3XLRCUUVLWY6OJRLEEH8LDI9RNPU4N,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2131603;,900,3600,Fri Oct 23 11:11:28 PDT 2015,,,35L9RVQFCPCJXO4RQV1DJ6U4EW7UHZ,Approved,,211,100% (116/116),100% (116/116),100% (102/102),,,24812,P S Mohankumar,Michigan State University,msu.edu,Pathology</li><li>Preventive Medicine and Health Behavior Research</li><li>Otolaryngology</li><li>Pathology and Laboratory Medicine</li><li>Surgery</li><li>Urology</li><li>Oncology</li><li>Pathology and Pathobiology,Medical Specialties,,http://www.epi.msu.edu/bircwh/mohankumar.html,,,,,1,,,1761045088000,21oct2015 11:11:48,21oct2015 11:15:19,1761048919000,1761045780000,,49,1353,27.612246,7.8226166,1
2131603,3ECKRY5B1QQXSYBRBXD4CQFER2SZIW,3XLRCUUVLWY6OJRLEEH8LDI9RNPU4N,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2131603;,900,3600,Fri Oct 23 11:11:10 PDT 2015,,,32N49TQG3HC40GLDPF1QY69JF8RVAF,Approved,,280,100% (116/116),100% (116/116),100% (102/102),,,4553,Joel Moore,University of California Berkeley,berkeley.edu,"Physics</li><li>Physics and Astronomy</li><li>Physics (Biophysics)</li><li>Plasma Physics</li><li>Applied Physics</li><li>Applied and Engineering Physics</li><li>Physics-Biophysics</li><li>Physics, Nuclear",Physics,,http://cmt.berkeley.edu/jemoore,,,,,1,,,1761045070000,21oct2015 11:11:53,21oct2015 11:16:33,1761048993000,1761046020000,,49,1353,27.612246,7.8226166,1
2131603,3UUSLRKAULXX0DPZ0OKAU962P497DC,3XLRCUUVLWY6OJRLEEH8LDI9RNPU4N,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2131603;,900,3600,Fri Oct 23 11:11:48 PDT 2015,,,3WSELTNVR4WPNOHOKK1BXOLYINCTAY,Approved,,373,100% (116/116),100% (116/116),100% (102/102),,,63005,Daniel J Grossman,University of Washington,washington.edu,Computer Science</li><li>Computer and Information Science</li><li>Computer Science (Software Engineering)</li><li>Computer and Information Technology</li><li>Computer Science (Computer Networks)</li><li>Computer Science and Engineering</li><li>Computer Science and Linguistics</li><li>Computer Science (Intelligent Robotics)</li><li>Computer Science and Cognitive Science</li><li>Computer Science (Intelligent Robotics),Computer Sciences,,http://homes.cs.washington.edu/~djg/,,,,,1,,,1761045108000,21oct2015 11:16:43,21oct2015 11:22:56,1761049376000,1761047234000,,49,1353,27.612246,7.8226166,1
2131603,3ZQA3IO31BLATO1M1HHH4TROQWFO1S,3XLRCUUVLWY6OJRLEEH8LDI9RNPU4N,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2131603;,900,3600,Fri Oct 23 11:11:29 PDT 2015,,,31IBVUNM9TTZW72L0VNIC7KACO5FVD,Approved,,450,100% (116/116),100% (116/116),100% (102/102),,,21695,Jack Girton,Iowa State University,iastate.edu,"Biochemistry</li><li>Integrated Life Sciences</li><li>Molecular and Cell Biology</li><li>Biological Sciences</li><li>Molecular Biology</li><li>Genetics and Molecular Biology</li><li>Biophysics</li><li>Biochemistry, Biophysics and Molecular Biology</li><li>Biochemistry, Molecular Biology and Biophysics</li><li>Molecular, Cellular, Developmental Biology and Genetics</li><li>Comparative Pathology</li><li>Genetics, Development and Cell Biology</li><li>Biochemistry and Biophysics</li><li>Genetic, Molecular and Cell Biology</li><li>Molecular Cancer Biology</li><li>Molecular, Cellular and Developmental Biology</li><li>Chemical Physics</li><li>Molecular and Cellular Biology</li><li>Biochemistry-ALS</li><li>Biochemistry and Molecular Biology</li><li>Comparative and Molecular Biosciences</li><li>Comparative Pathobiology</li><li>Roswell Park . Cellular and Molecular Biology</li><li>Molecular, Cell, and Dev Biology","Biochemistry, Biophysics, and Structural Biology",,http://www.bbmb.iastate.edu/jack-girton/,,,,,1,,,1761045089000,21oct2015 11:18:44,21oct2015 11:26:14,1761049574000,1761047610000,,49,1353,27.612246,7.8226166,1
2131603,3I4E7AFQ2KTX1XMYNN9M23TXJLXJTE,3XLRCUUVLWY6OJRLEEH8LDI9RNPU4N,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2131603;,900,3600,Fri Oct 23 11:11:44 PDT 2015,,,3HL8HNGX46V1Z0PIXUIMKPVDLWNF9Y,Approved,,330,100% (116/116),100% (116/116),100% (102/102),,,18620,Mary Waldron,Indiana University Bloomington,indiana.edu,"Educational Policy and Administration</li><li>Education</li><li>Urban Education</li><li>Work and Human Resource Education</li><li>Educational Administration</li><li>K-12 Educational Administration</li><li>Education (Policy, Planning and Administration)</li><li>Youth Development and Agricultural Education</li><li>Work, Community and Family Education</li><li>Continuing and Vocational Ed-ED",Educational Administration and Supervision,,http://education.indiana.edu/dotnetforms/Profile.aspx?u=mwaldron,,,,,1,,,1761045104000,21oct2015 11:22:13,21oct2015 11:27:43,1761049663000,1761046470000,,49,1353,27.612246,7.8226166,1
2131603,37OPIVELUUXWVVSZTNFKVLNQI47AHE,3XLRCUUVLWY6OJRLEEH8LDI9RNPU4N,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2131603;,900,3600,Fri Oct 23 11:11:21 PDT 2015,,,382M9COHEI97DEDP0UT7Y3XRMGHUEL,Approved,,394,100% (116/116),100% (116/116),100% (102/102),,,11114,Caroline Bruzelius,Duke University,duke.edu,"Art History</li><li>History of Art</li><li>Art and Archaeology</li><li>Art History and Archaeology</li><li>History of Art and Architecture</li><li>Art, Art History and Visual Studies</li><li>Art History, Theory and Criticism</li><li>Ancient History and Mediterranean Archaeology</li><li>History and Theory of Art</li><li>Art: Art History","History of Art, Architecture, and Archaeology",,http://aahvs.duke.edu/people/profile/caroline-bruzelius,,,,,1,,,1761045081000,21oct2015 11:20:44,21oct2015 11:27:18,1761049638000,1761046466000,,49,1353,27.612246,7.8226166,1
2131603,3ZG552ORAMYC8TSFLX3944V1EVR2VQ,3XLRCUUVLWY6OJRLEEH8LDI9RNPU4N,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2131603;,900,3600,Fri Oct 23 11:11:07 PDT 2015,,,3OS46CRSLGT3DE9AZ2KEI17XJP1V6P,Approved,,49,100% (116/116),100% (116/116),100% (102/102),,,5762,Alfred Rosenberger,City University of New York,cuny.edu,"Folklore and Ethnomusicology</li><li>Cultural Anthropology</li><li>Evolutionary Anthropology</li><li>Medical Anthropology</li><li>Archaeology</li><li>Anthropology and Linguistics</li><li>Anthropology and History</li><li>Social Anthropology</li><li>Anthropology and Middle Eastern Studies</li><li>Anthropology, Archeology",Anthropology,,http://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Anthropology/Faculty-Listing/Alfred-L-Rosenberger,,,,,1,,,1761045067000,21oct2015 11:11:38,21oct2015 11:12:27,1761048747000,1761047610000,,49,1353,27.612246,7.8226166,1
2131603,3K3G488TR22C2IFLHHBXWOZ5HD35Q0,3XLRCUUVLWY6OJRLEEH8LDI9RNPU4N,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2131603;,900,3600,Fri Oct 23 11:11:08 PDT 2015,,,3BEFOD78W7N684BN2MQ8Y746W5K4MX,Approved,,237,100% (116/116),100% (116/116),100% (102/102),,,63760,Lauro Flores,University of Washington,washington.edu,"English Language and Literature</li><li>Literature</li><li>Language, Reading and Culture</li><li>Languages and Cultures</li><li>Literature and Creative Writing</li><li>English</li><li>English and American Indian Studies</li><li>Language, Literacy and Culture</li><li>Literature in English",English Language and Literature,,http://aes.washington.edu/people/lauro-h-flores,,,,,0,,,1761045068000,21oct2015 11:26:49,21oct2015 11:30:46,1761049846000,1761046471000,,49,1353,27.612246,7.8226166,1
2131603,3SU800BH86MTNX50IIJ540RLGUUQU1,3XLRCUUVLWY6OJRLEEH8LDI9RNPU4N,Verify professor department,Use link to verify whether professor's department is on a short list,"data collection, university, verification",.06,1,BatchId:2131603;,900,3600,Fri Oct 23 11:11:09 PDT 2015,,,3LKC68YZ3BX6H9FJP8B4L3C2BYWWOO,Approved,,15,100% (116/116),100% (116/116),100% (102/102),,,1742,Beichuan Zhang,University of Arizona,arizona.edu,Computer Science</li><li>Computer and Information Science</li><li>Computer Science (Software Engineering)</li><li>Computer and Information Technology</li><li>Computer Science (Computer Networks)</li><li>Computer Science and Engineering</li><li>Computer Science and Linguistics</li><li>Computer Science (Intelligent Robotics)</li><li>Computer Science and Cognitive Science</li><li>Computer Science (Intelligent Robotics),Computer Sciences,,http://www.cs.arizona.edu/~bzhang/,,,,,1,,,1761045069000,21oct2015 11:11:34,21oct2015 11:11:49,1761048709000,1761047225000,,49,1353,27.612246,7.8226166,1
